,genre_ids,movie_id,overview,popularity,poster_path,release_date,title,vote_average,vote_count
544,"[12, 14, 28, 53]",1735,"Archaeologist Rick O'Connell travels to China, pitting him against an emperor from the 2,000-year-old Han dynasty who's returned from the dead to pursue a quest for world domination. This time, O'Connell enlists the help of his wife and son to quash the so-called 'Dragon Emperor' and his abuse of supernatural power.",4.713122,/53hrZvxiV3HgG6pdhuMeErIc7Hg.jpg,2008-07-01,The Mummy: Tomb of the Dragon Emperor,5.1,1053
545,"[12, 14, 878]",11253,"In this continuation to the adventure of the demon superhero, an evil elf breaks an ancient pact between humans and creatures, as he declares war against humanity. He is on a mission to release The Golden Army, a deadly group of fighting machines that can destroy the human race. As Hell on Earth is ready to erupt, Hellboy and his crew set out to defeat the evil prince.",3.081821,/fFcZqnWDeQsImDAAIyAimc3SGEl.jpg,2008-07-11,Hellboy II: The Golden Army,6.5,1186
546,"[14, 28, 12]",13486,"The heroic tale of young Mathayus and his relentless quest for justice against an evil and powerful villain, King Sargon. Mathayus faces heart-stopping tribulations during his adventurous, odds-defying trajectory toward his ultimate destiny: becoming the formidable warrior king of an ancient desert empire.",3.081197,/quqsgaoLSct4DzsKb6I7S5wmapw.jpg,2008-07-19,The Scorpion King: Rise of a Warrior,4.3,96
547,"[12, 10751, 14]",2454,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",3.070867,/mEHd5n927ifJEODgbtC09Faqwcg.jpg,2008-05-15,The Chronicles of Narnia: Prince Caspian,6.2,1149
548,"[16, 10751, 12, 35]",13053,"Bolt is the star of the biggest show in Hollywood. The only problem is, he thinks it's real. After he's accidentally shipped to New York City and separated from Penny, his beloved co-star and owner, Bolt must harness all his ""super powers"" to find a way home.",3.00777,/pGA75RbbIDXlUJtzJogAtS0KyxL.jpg,2008-11-21,Bolt,6.3,1307
549,"[12, 878, 28]",11127,"The war against the Bugs continues! A Federation Starship crash-lands on the distant Alien planet OM-1, stranding beloved leader Sky Marshal Anoke and several others, including comely but tough pilot Lola Beck. It's up to Colonel/General Johnny Rico, reluctant hero of the original Bug Invasion on Planet P, to lead a team of Troopers on a daring rescue mission.",2.858159,/eozyEucy6yepxJVVQzD7B8Qx73h.jpg,2008-07-19,Starship Troopers 3: Marauder,4.3,123
550,"[12, 28, 18, 14]",7840,A prehistoric epic that follows a young mammoth hunter's journey through uncharted territory to secure the future of his tribe.,2.854647,/rnGR3EHkL4ryhQd50XBrtRrV8nq.jpg,2008-02-22,"10,000 BC",5.1,733
551,"[28, 12, 53, 80]",13387,"Frank Martin puts the driving gloves on to deliver Valentina, the kidnapped daughter of a Ukranian government official, from Marseilles to Odessa on the Black Sea. En route, he has to contend with thugs who want to intercept Valentina's safe delivery and not let his personal feelings get in the way of his dangerous objective.",2.832211,/d3rokRfJUtSg3wFaTdUKKodhfaA.jpg,2008-11-26,Transporter 3,5.9,883
552,"[28, 12, 878, 53]",9381,"In Babylon A.D Vin Diesel stars as a veteran-turned-mercenary who is hired to deliver a package from the ravages of post-apocalyptic Eastern Europe to a destination in the teeming megalopolis of New York City. The ""package"" is a mysterious young woman with a secret.",2.830722,/eeoB2u438Z8b14HJn8TVe8X9F1U.jpg,2008-08-20,Babylon A.D.,5.4,550
553,"[28, 878, 12, 35, 10751]",88751,"On a quest to find out what happened to his missing brother, a scientist, his nephew and their mountain guide discover a fantastic and dangerous lost world in the center of the earth.",2.808075,/nlYk34gpPfM6KFujxB9HTHZyeiL.jpg,2008-07-10,Journey to the Center of the Earth,5.7,930
554,"[16, 10751, 12, 14]",13179,"Journey into the secret world of Pixie Hollow and hear Tinker Bell speak for the very first time as the astonishing story of Disney's most famous fairy is finally revealed in the all-new motion picture ""Tinker Bell.""",2.659669,/dx9FiWtcY4u5Kla6Cetw1a6W2qK.jpg,2008-10-27,Tinker Bell,6.7,221
555,"[12, 18, 28]",12289,"In the early third century, the land of Wu is invaded by the warlord Cao Cao and his million soldiers. The ruler of Wu, Sun Quan, calls on the rival warlord Liu Bei for help, but their two armies are still badly outnumbered. However, the Wu strategist Zhou Yu sees that Cao Cao's army is unused to battling on the sea, which may just give them a chance if they can exploit this weakness properly.",2.51888,/uMiA2c1wrySRTI3f2ij5i2aCCya.jpg,2008-07-10,Red Cliff,7.1,156
556,"[12, 14, 878]",8247,"David Rice is a man who knows no boundaries, a Jumper, born with the uncanny ability to teleport instantly to anywhere on Earth. When he discovers others like himself, David is thrust into a dangerous and bloodthirsty war while being hunted by a sinister and determined group of zealots who have sworn to destroy all Jumpers. Now, David’s extraordinary gift may be his only hope for survival!",2.447897,/mIz6FQabZrrzsOwYFpUpreijpvx.jpg,2008-02-10,Jumper,5.9,1364
557,"[12, 18, 28, 36, 53]",16436,North Face tells the story of two German climbers Toni Kurz and Andreas Hinterstoisser and their attempt to scale the deadly North Face of the Eiger.,2.409725,/2gLak3Vo9VaoozwItLXZt2Elh68.jpg,2008-10-23,North Face,7.5,61
558,"[12, 10751, 14]",8204,"Upon moving into the run-down Spiderwick Estate with their mother, twin brothers Jared and Simon Grace, along with their sister Mallory, find themselves pulled into an alternate world full of faeries and other creatures.",2.242461,/nSLjsBDzwsIpQL534CNfAKidyAm.jpg,2008-02-14,The Spiderwick Chronicles,6.2,394
559,"[35, 18, 10751, 10402, 10770]",13655,"When Mitchie gets a chance to attend Camp Rock, her life takes an unpredictable twist, and she learns just how important it is to be true to yourself.",1.988914,/dTYrXKIJkiiDFDY8hrxXwZpDPb7.jpg,2008-06-20,Camp Rock,5.8,250
560,"[10770, 35, 878, 10751, 12]",22371,A comedy/sci-fi/adventure about three high school kids who invent a time machine to spare others just like them from the humiliation they've endured.,1.7018,/4I7JrbUODvz3qw1lwUPEraoaAX8.jpg,2008-01-25,Minutemen,5.0,38
